,bus,vLN,sInjkW
0,SOURCEBUS.1,(2401.7679173216175-0.010419656057674139j),-0j
1,SOURCEBUS.2,(-1200.8929411455583-2079.986933216739j),(-0+0j)
2,SOURCEBUS.3,(-1200.8750185304607+2079.9972104023254j),0j
3,N2.1,(2366.0377405365043-17.869805399702603j),-0j
4,N2.2,(-1203.9056319611695-2047.292596153051j),(-0+0j)
5,N2.3,(-1166.7250778645548+2064.3926049349593j),0j
6,N3.1,(2349.129956698008-40.41999498942523j),-0j
7,N3.2,(-1214.866144246475-2021.5913240076177j),(-0+0j)
8,N3.3,(-1138.8968128955264+2060.9424287871934j),0j
9,N4.1,(2304.4658972408683-62.74358188421008j),(333.3299211070271+161.4307473377468j)
10,N4.2,(-1218.630731461223-1980.7228792061308j),(333.3349405582999+161.44159287675598j)
11,N4.3,(-1096.2094289988236+2041.4352905181165j),(333.32798932423225+161.43525763597j)
