,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743408230315273+1.7234619861939902j),(0.5743408230315274+1.7234619861939906j),(0.5743408230315274+1.7234619861939908j),(0.5736068230292247+1.720524986189671j),(0.5736068230292249+1.7205249861896714j),(0.5736068230292249+1.7205249861896714j),0j,0j,0j,0j,0j,0j
line1,1,2,(0.0008773020000000003+8.235000000000001e-05j),(0.0008773020000000002+8.235000000000001e-05j),(0.0008773019999999999+8.235e-05j),(0.00038759400000000006+4.3920000000000115e-06j),(0.00038759400000000006+4.392000000000023e-06j),(0.0003875940000000001+4.3920000000000225e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(9.197288999999997e-05+8.633249999999997e-06j),(9.197288999999997e-05+8.633249999999999e-06j),(9.197288999999996e-05+8.633249999999994e-06j),(4.063382999999999e-05+4.6044000000000097e-07j),(4.0633829999999986e-05+4.604399999999999e-07j),(4.0633829999999986e-05+4.604400000000008e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(8.616416000000002e-05+8.088000000000001e-06j),(8.616416000000002e-05+8.088000000000003e-06j),(8.616416000000002e-05+8.087999999999996e-06j),(3.8067520000000016e-05+4.313600000000014e-07j),(3.8067520000000016e-05+4.3135999999999954e-07j),(3.8067520000000016e-05+4.3135999999999986e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(7.5122779e-05+7.051574999999997e-06j),(7.512277900000001e-05+7.051574999999998e-06j),(7.512277900000001e-05+7.051575e-06j),(3.318941300000001e-05+3.760839999999998e-07j),(3.318941300000001e-05+3.760839999999998e-07j),(3.3189413000000014e-05+3.760840000000003e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(0.00011834788000000002+1.1109000000000002e-05j),(0.00011834788+1.1109000000000002e-05j),(0.00011834788000000002+1.1109e-05j),(5.2286360000000005e-05+5.924800000000036e-07j),(5.2286360000000026e-05+5.924800000000028e-07j),(5.228636000000001e-05+5.924800000000034e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(0.0080589537+0.0007564725000000001j),(0.008058953700000001+0.0007564725000000003j),(0.0080589537+0.0007564724999999996j),(0.003560463900000001+4.0345200000000374e-05j),(0.003560463900000001+4.034520000000025e-05j),(0.0035604639000000006+4.0345200000000225e-05j),0j,0j,0j,0j,0j,0j
line7,7,8,(0.0003609482499999999+3.388124999999999e-05j),(0.00036094825+3.3881250000000014e-05j),(0.00036094825000000007+3.3881250000000014e-05j),(0.00015946774999999998+1.8070000000000085e-06j),(0.00015946775000000006+1.8070000000000206e-06j),(0.00015946775000000004+1.807000000000016e-06j),0j,0j,0j,0j,0j,0j
line8,8,9,(0.000300424+2.8199999999999988e-05j),(0.00030042400000000004+2.819999999999999e-05j),(0.0003004240000000001+2.8199999999999998e-05j),(0.00013272800000000003+1.5040000000000048e-06j),(0.0001327280000000001+1.5040000000000103e-06j),(0.0001327280000000001+1.504000000000007e-06j),0j,0j,0j,0j,0j,0j
line9,9,10,(0.00026364602999999996+2.4747749999999987e-05j),(0.00026364603+2.4747749999999987e-05j),(0.00026364602999999996+2.474774999999999e-05j),(0.00011647941000000002+1.3198800000000014e-06j),(0.00011647941000000002+1.3198800000000056e-06j),(0.00011647941000000002+1.319880000000002e-06j),0j,0j,0j,0j,0j,0j
line10,10,11,(0.00019672978000000003+1.8466500000000004e-05j),(0.00019672977999999995+1.8466499999999997e-05j),(0.00019672978+1.8466500000000004e-05j),(8.691566e-05+9.848800000000014e-07j),(8.691566000000004e-05+9.84880000000004e-07j),(8.691566000000001e-05+9.84880000000006e-07j),0j,0j,0j,0j,0j,0j
line11,11,12,(0.00018468085999999998+1.7335500000000004e-05j),(0.00018468086+1.733550000000001e-05j),(0.00018468085999999998+1.7335499999999997e-05j),(8.159242000000002e-05+9.245600000000076e-07j),(8.159242000000002e-05+9.245600000000035e-07j),(8.159242e-05+9.245600000000021e-07j),0j,0j,0j,0j,0j,0j
line12,12,13,(0.00011356187000000001+1.0659750000000004e-05j),(0.00011356186999999996+1.0659749999999992e-05j),(0.00011356186999999997+1.0659749999999997e-05j),(5.0171890000000006e-05+5.685200000000003e-07j),(5.0171890000000006e-05+5.685200000000011e-07j),(5.0171889999999986e-05+5.685199999999984e-07j),0j,0j,0j,0j,0j,0j
line13,13,14,(0.00028271816000000006+2.6538000000000002e-05j),(0.00028271816+2.6537999999999985e-05j),(0.00028271816+2.6538e-05j),(0.00012490552000000003+1.4153599999999985e-06j),(0.00012490552000000003+1.415360000000001e-06j),(0.00012490552+1.4153599999999977e-06j),0j,0j,0j,0j,0j,0j
line14,14,15,(0.0022902535999999997+0.00021497999999999987j),(0.0022902535999999992+0.00021497999999999992j),(0.0022902535999999997+0.00021497999999999995j),(0.0010118392+1.1465599999999964e-05j),(0.0010118392+1.1465599999999984e-05j),(0.0010118392+1.1465599999999989e-05j),0j,0j,0j,0j,0j,0j
line15,15,16,(0.0003832638+9.557460000000002e-06j),(0.0003832638+9.557460000000002e-06j),(0.0003832638+9.557460000000002e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line16,15,17,(0.0027773240000000007+0.00026069999999999994j),(0.0027773240000000003+0.0002607j),(0.0027773240000000003+0.00026069999999999994j),(0.001227028+1.3903999999999996e-05j),(0.001227028+1.3903999999999996e-05j),(0.001227028+1.3904000000000033e-05j),0j,0j,0j,0j,0j,0j
line17,16,18,(0.00017485865+4.360455e-06j),(0.00017485865+4.360455e-06j),(0.00017485865+4.360455e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line18,17,19,(0.00019109683000000005+1.7937749999999996e-05j),(0.00019109682999999996+1.7937749999999996e-05j),(0.00019109683+1.793775e-05j),(8.442701000000001e-05+9.566800000000055e-07j),(8.442701000000001e-05+9.566800000000031e-07j),(8.442700999999998e-05+9.56680000000001e-07j),0j,0j,0j,0j,0j,0j
line19,18,20,(0.00018331078+4.571226000000001e-06j),(0.00018331078+4.571226000000001e-06j),(0.00018331078+4.571226000000001e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line20,19,21,(0.00021457944000000004+2.0142000000000005e-05j),(0.00021457943999999996+2.0141999999999988e-05j),(0.00021457944000000004+2.0142e-05j),(9.480168e-05+1.0742400000000005e-06j),(9.480168000000002e-05+1.0742400000000035e-06j),(9.480168000000001e-05+1.0742400000000064e-06j),0j,0j,0j,0j,0j,0j
line21,20,22,(0.00016664471999999997+4.155623999999999e-06j),(0.00016664471999999997+4.155623999999999e-06j),(0.00016664471999999997+4.155623999999999e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line22,21,23,(0.00034937872999999986+3.279525e-05j),(0.0003493787299999998+3.279524999999999e-05j),(0.0003493787299999999+3.2795250000000004e-05j),(0.00015435630999999998+1.7490800000000125e-06j),(0.00015435631+1.7490800000000087e-06j),(0.00015435630999999998+1.7490800000000095e-06j),0j,0j,0j,0j,0j,0j
line23,22,24,(0.00020344265+5.0732550000000004e-06j),(0.00020344265+5.0732550000000004e-06j),(0.00020344265+5.0732550000000004e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line24,23,25,(0.0006356045000000002+5.9662500000000014e-05j),(0.0006356045+5.966249999999999e-05j),(0.0006356044999999999+5.9662499999999966e-05j),(0.00028081150000000007+3.182000000000006e-06j),(0.00028081150000000007+3.182000000000006e-06j),(0.0002808115+3.1820000000000023e-06j),0j,0j,0j,0j,0j,0j
line25,24,26,(0.00022193094+5.534298e-06j),(0.00022193094+5.534298e-06j),(0.00022193094+5.534298e-06j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line26,25,27,(0.006889050000000001+0.0005196312000000002j),(0.006889049999999999+0.0005196312000000001j),(0.006889049999999996+0.0005196311999999996j),(9.841500000000008e-05-2.6473967961317326e-21j),(9.841500000000005e-05+1.3236983980658663e-21j),(9.841500000000005e-05+1.3242150876455081e-21j),0j,0j,0j,0j,0j,0j
