,Units,GB_APX_HR_DA_AUCTION_PRICE
01/01/2012 00:00,GBP/MWh,38
01/01/2012 01:00,GBP/MWh,36
01/01/2012 02:00,GBP/MWh,35
01/01/2012 03:00,GBP/MWh,36
01/01/2012 04:00,GBP/MWh,30
01/01/2012 05:00,GBP/MWh,21
01/01/2012 06:00,GBP/MWh,21
01/01/2012 07:00,GBP/MWh,20
01/01/2012 08:00,GBP/MWh,22
01/01/2012 09:00,GBP/MWh,33
01/01/2012 10:00,GBP/MWh,35
01/01/2012 11:00,GBP/MWh,43
01/01/2012 12:00,GBP/MWh,52
01/01/2012 13:00,GBP/MWh,42
01/01/2012 14:00,GBP/MWh,42
01/01/2012 15:00,GBP/MWh,35
01/01/2012 16:00,GBP/MWh,65
01/01/2012 17:00,GBP/MWh,81
01/01/2012 18:00,GBP/MWh,65
01/01/2012 19:00,GBP/MWh,54
01/01/2012 20:00,GBP/MWh,44
01/01/2012 21:00,GBP/MWh,45
01/01/2012 22:00,GBP/MWh,42
01/01/2012 23:00,GBP/MWh,36
02/01/2012 00:00,GBP/MWh,37
02/01/2012 01:00,GBP/MWh,35
02/01/2012 02:00,GBP/MWh,35
02/01/2012 03:00,GBP/MWh,28
02/01/2012 04:00,GBP/MWh,25
02/01/2012 05:00,GBP/MWh,24.93
02/01/2012 06:00,GBP/MWh,29.9
02/01/2012 07:00,GBP/MWh,30.12
02/01/2012 08:00,GBP/MWh,31
02/01/2012 09:00,GBP/MWh,34.16
02/01/2012 10:00,GBP/MWh,42
02/01/2012 11:00,GBP/MWh,46
02/01/2012 12:00,GBP/MWh,46.58
02/01/2012 13:00,GBP/MWh,45
02/01/2012 14:00,GBP/MWh,41
02/01/2012 15:00,GBP/MWh,43
02/01/2012 16:00,GBP/MWh,49.7
02/01/2012 17:00,GBP/MWh,55
02/01/2012 18:00,GBP/MWh,45.75
02/01/2012 19:00,GBP/MWh,43
02/01/2012 20:00,GBP/MWh,35.34
02/01/2012 21:00,GBP/MWh,32.34
02/01/2012 22:00,GBP/MWh,26.57
02/01/2012 23:00,GBP/MWh,35
03/01/2012 00:00,GBP/MWh,35
03/01/2012 01:00,GBP/MWh,33
03/01/2012 02:00,GBP/MWh,33
03/01/2012 03:00,GBP/MWh,30.25
03/01/2012 04:00,GBP/MWh,30
03/01/2012 05:00,GBP/MWh,34.83
03/01/2012 06:00,GBP/MWh,37
03/01/2012 07:00,GBP/MWh,42.04
03/01/2012 08:00,GBP/MWh,41.05
03/01/2012 09:00,GBP/MWh,39.73
03/01/2012 10:00,GBP/MWh,39.52
03/01/2012 11:00,GBP/MWh,39.7
03/01/2012 12:00,GBP/MWh,39.34
03/01/2012 13:00,GBP/MWh,37
03/01/2012 14:00,GBP/MWh,37
03/01/2012 15:00,GBP/MWh,32.7
03/01/2012 16:00,GBP/MWh,56
03/01/2012 17:00,GBP/MWh,65
03/01/2012 18:00,GBP/MWh,63
03/01/2012 19:00,GBP/MWh,52.95
03/01/2012 20:00,GBP/MWh,37.25
03/01/2012 21:00,GBP/MWh,33
03/01/2012 22:00,GBP/MWh,35
03/01/2012 23:00,GBP/MWh,34
04/01/2012 00:00,GBP/MWh,32.2
04/01/2012 01:00,GBP/MWh,32.2
04/01/2012 02:00,GBP/MWh,32.2
04/01/2012 03:00,GBP/MWh,32.2
04/01/2012 04:00,GBP/MWh,30.5
04/01/2012 05:00,GBP/MWh,31.6
04/01/2012 06:00,GBP/MWh,35.5
04/01/2012 07:00,GBP/MWh,39.28
04/01/2012 08:00,GBP/MWh,40.5
04/01/2012 09:00,GBP/MWh,42
04/01/2012 10:00,GBP/MWh,42.25
04/01/2012 11:00,GBP/MWh,42
04/01/2012 12:00,GBP/MWh,39
04/01/2012 13:00,GBP/MWh,38
04/01/2012 14:00,GBP/MWh,37.5
04/01/2012 15:00,GBP/MWh,38.5
