,bus,vLN,sInjkW
0,650.1,(2401.669937485289-0.3676991212502452j),-0j
1,650.2,(-1201.1653145774078-2079.8595051337866j),(-0+0j)
2,650.3,(-1200.490643607812+2080.1133755168166j),0j
3,633.1,(2299.225960769402-93.08525664718822j),-0j
4,633.2,(-1242.823822411257-2024.847008910467j),(-0+0j)
5,633.3,(-1073.69429350963+2011.4370680727184j),0j
6,634.1,(2296.8691525938293-95.10116606775168j),(160.00038105843754+109.99628931536121j)
7,634.2,(-1245.1092766288978-2026.8388096015094j),(120.00052518210097+90.00164148101248j)
8,634.3,(-1075.9875779909876+2009.3805736009572j),(119.997261254582+89.99622711317477j)
9,632.1,(2306.231748060002-91.34530507306454j),-0j
10,632.2,(-1243.9126699896526-2029.2798717975777j),(-0+0j)
11,632.3,(-1076.358305870001+2016.782511178608j),0j
12,670.1,(2280.767263658027-123.77207185546509j),(17.000021147390903+9.999531225911435j)
13,670.2,(-1253.4719607635552-2029.7058918816738j),(66.0003630609083+38.000909720659095j)
14,670.3,(-1041.2062746715048+1998.1948592884007j),(116.99660080901953+67.99587767595719j)
15,671.1,(2226.7832356970553-188.41509234373748j),(382.9367765343522+206.587784224051j)
16,671.2,(-1275.5928820999177-2034.9603636335967j),(400.4759087589503+241.18320260549558j)
17,671.3,(-982.9287011719441+1964.370527851263j),(371.57504623719205+212.20214074698106j)
18,680.1,(2226.7832543920363-188.4151050726602j),-0j
19,680.2,(-1275.5928988407004-2034.960381292653j),(-0+0j)
20,680.3,(-982.9287031532481+1964.3705512349281j),0j
21,645.3,(-1075.7559001700313+2012.6170069815453j),0j
22,645.2,(-1237.2392226519012-2008.4023335767229j),(170.00072374572386+125.00219400466268j)
23,646.3,(-1075.6206521270535+2007.918688010308j),(69.35527171856481+121.77715079484673j)
24,646.2,(-1237.3398864836497-2003.702634476215j),(144.88015840311658+1.1718917621363971j)
25,692.1,(2226.7601603756634-188.4069855989505j),(40.520856420918605+115.22872814916869j)
26,692.2,(-1275.596326642092-2034.9548481981255j),(-0+0j)
27,692.3,(-982.9232559366576+1964.3524772560525j),(117.4166271256574+25.05248015816052j)
28,675.1,(2209.0058721286114-197.22741485561752j),(484.9965326012029+19.448121513815167j)
29,675.2,(-1285.2736751396367-2035.6273672024238j),(68.000424654378-140.94058885261745j)
30,675.3,(-981.5326849547048+1959.1834330500938j),(289.9877719300991+45.49973270829145j)
31,684.1,(2222.6694122719855-188.5503865118262j),-0j
32,684.3,(-977.6687305269684+1961.4331625128266j),0j
33,611.3,(-971.061828695606+1959.081203834241j),(154.8815078954332-10.121367766700843j)
34,652.1,(2210.8462750244867-184.03657266103014j),(109.37541731942724+73.48164340806417j)
