# Renewables.ninja Weather (Point API) - 56.384, -3.422 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, temperature in ºC, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/London", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "56.383582260977434", "lon": "-3.421530968076176", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature,radiation_surface
2019-01-01 00:00,2019-01-01 00:00,4.589,0
2019-01-01 01:00,2019-01-01 01:00,3.870,0
2019-01-01 02:00,2019-01-01 02:00,3.342,0
2019-01-01 03:00,2019-01-01 03:00,2.840,0
2019-01-01 04:00,2019-01-01 04:00,2.318,0
2019-01-01 05:00,2019-01-01 05:00,1.770,0
2019-01-01 06:00,2019-01-01 06:00,1.204,0
2019-01-01 07:00,2019-01-01 07:00,0.869,0
2019-01-01 08:00,2019-01-01 08:00,0.619,0.243
2019-01-01 09:00,2019-01-01 09:00,1.067,35.379
2019-01-01 10:00,2019-01-01 10:00,2.539,100.690
2019-01-01 11:00,2019-01-01 11:00,3.570,143.838
2019-01-01 12:00,2019-01-01 12:00,3.908,152.433
2019-01-01 13:00,2019-01-01 13:00,3.633,124.804
2019-01-01 14:00,2019-01-01 14:00,2.422,67.327
2019-01-01 15:00,2019-01-01 15:00,0.556,8.236
2019-01-01 16:00,2019-01-01 16:00,-0.460,0
2019-01-01 17:00,2019-01-01 17:00,-1.053,0
2019-01-01 18:00,2019-01-01 18:00,-1.470,0
2019-01-01 19:00,2019-01-01 19:00,-1.703,0
2019-01-01 20:00,2019-01-01 20:00,-1.847,0
2019-01-01 21:00,2019-01-01 21:00,-1.959,0
2019-01-01 22:00,2019-01-01 22:00,-2.079,0
2019-01-01 23:00,2019-01-01 23:00,-2.137,0
2019-01-02 00:00,2019-01-02 00:00,-2.144,0
2019-01-02 01:00,2019-01-02 01:00,-2.108,0
2019-01-02 02:00,2019-01-02 02:00,-2.019,0
2019-01-02 03:00,2019-01-02 03:00,-1.933,0
2019-01-02 04:00,2019-01-02 04:00,-1.857,0
2019-01-02 05:00,2019-01-02 05:00,-1.775,0
2019-01-02 06:00,2019-01-02 06:00,-1.673,0
2019-01-02 07:00,2019-01-02 07:00,-1.582,0
2019-01-02 08:00,2019-01-02 08:00,-1.651,0.320
2019-01-02 09:00,2019-01-02 09:00,-1.511,37.336
2019-01-02 10:00,2019-01-02 10:00,-0.574,101.738
2019-01-02 11:00,2019-01-02 11:00,-0.032,140.616
2019-01-02 12:00,2019-01-02 12:00,0.178,146.472
2019-01-02 13:00,2019-01-02 13:00,0.123,119.496
2019-01-02 14:00,2019-01-02 14:00,-0.601,61.964
2019-01-02 15:00,2019-01-02 15:00,-1.372,7.468
2019-01-02 16:00,2019-01-02 16:00,-1.413,0
2019-01-02 17:00,2019-01-02 17:00,-1.441,0
2019-01-02 18:00,2019-01-02 18:00,-1.471,0
2019-01-02 19:00,2019-01-02 19:00,-1.338,0
2019-01-02 20:00,2019-01-02 20:00,-1.245,0
2019-01-02 21:00,2019-01-02 21:00,-1.259,0
2019-01-02 22:00,2019-01-02 22:00,-1.340,0
2019-01-02 23:00,2019-01-02 23:00,-1.410,0
2019-01-03 00:00,2019-01-03 00:00,-1.380,0
2019-01-03 01:00,2019-01-03 01:00,-1.266,0
2019-01-03 02:00,2019-01-03 02:00,-1.143,0
2019-01-03 03:00,2019-01-03 03:00,-1.080,0
2019-01-03 04:00,2019-01-03 04:00,-1.109,0
2019-01-03 05:00,2019-01-03 05:00,-1.164,0
2019-01-03 06:00,2019-01-03 06:00,-1.190,0
2019-01-03 07:00,2019-01-03 07:00,-1.235,0
2019-01-03 08:00,2019-01-03 08:00,-1.237,0.351
2019-01-03 09:00,2019-01-03 09:00,-0.653,34.621
2019-01-03 10:00,2019-01-03 10:00,0.496,93.917
2019-01-03 11:00,2019-01-03 11:00,1.215,132.099
2019-01-03 12:00,2019-01-03 12:00,1.542,135.939
2019-01-03 13:00,2019-01-03 13:00,1.474,108.222
2019-01-03 14:00,2019-01-03 14:00,0.758,55.883
2019-01-03 15:00,2019-01-03 15:00,-0.050,6.883
2019-01-03 16:00,2019-01-03 16:00,0.026,0
2019-01-03 17:00,2019-01-03 17:00,0.267,0
2019-01-03 18:00,2019-01-03 18:00,0.454,0
2019-01-03 19:00,2019-01-03 19:00,0.480,0
2019-01-03 20:00,2019-01-03 20:00,0.537,0
2019-01-03 21:00,2019-01-03 21:00,0.658,0
2019-01-03 22:00,2019-01-03 22:00,0.738,0
2019-01-03 23:00,2019-01-03 23:00,0.792,0
